FIELDID,ID,Branch,StreamName,SiteDescription,SamplingRoads,SamplingLocation,County,Latitude,Longitude
Min4,108,Upper,Minnow Pond,14 Mile,Halsted,Upstream,Oakland,42.526938,-83.421444
Min5,109,Upper,Minnow Pond,Farmington Rd,13 Mile,Downstream,Oakland,42.510799,-83.378381
MN-1,25,Main,Main Rouge,Main 8 M,Eight Mile/Telegraph,Downstream,Wayne,42.438056,-83.274722
MN-2,26,Main,Main Rouge,Eliza Howell,5 Mile/Telegraph,Upstream,Wayne,42.399722,-83.271389
MN-3,27,Main,Main Rouge,Fort St,Fort E of bridge,Upstream,Wayne,42.290906,-83.142919
MN-4,97,Main,Main Rouge,Parkland Pk,Ann Arbor Trail,Downstream,Wayne,42.3379,-83.247806
MN-5,98,Main,Main Rouge,Bridge St,Bridge w of Telegraph,Downstream,Oakland,42.443614,-83.284906
MN-6,146,Main,Main Rouge,Seven Mile,Greater Grace Temple,Upstream,Wayne,42.431922,-83.271534
MN-7,147,Main,Main Rouge,Rouge Park,Spinoza/Sawyer,Upstream,Wayne,42.348736,-83.24721
MN-7A,181,Main,Main Rouge,Rouge Park Sorensen,Spinoza/Sawyer,Upstream,Wayne,42.3460164,-83.2470989
MR-1,42,Middle,Middle Rouge,Northville Rec W,Hines/7 Mile,Downstream,Wayne,42.42487,-83.47712
MR-10,43,Middle,Middle Rouge,Parr Rec,Telegraph,Upstream,Wayne,42.347097,-83.27895
MR-11,44,Middle,Middle Rouge,Elm Grove,"E of Nankin Mills, W of Valley View Rec Area",Downstream,Wayne,42.34516,-83.3629
MR-12,45,Middle,Middle Rouge,Hawthorn Valley,"E of Merriman, W of Middlebelt Hill",Downstream,Wayne,42.338141,-83.344644
MR-13,46,Middle,Middle Rouge,Warrendale,Hines/Warren,Upstream,Oakland,42.34432,-83.26865
MR-14,47,Middle,Tonquish Creek,Smith Elem,Byron/McKinley,Upstream,Wayne,42.36027,-83.47638
MR-15,48,Middle,Middle Rouge,Outer Dr Ford,Ford Road/Outer Drive,Downstream,Wayne,42.33098,-83.247152
MR-16,49,Middle,Tonquish Creek,Canoe Pk,W of Ann Arbor Trail/Hines,Upstream,Wayne,42.3519,-83.375
MR-17,50,Middle,Middle Rouge,I-275 Clam Bar,West of I-275,Upstream,Wayne,42.370466,-83.437574
MR-18,51,Middle,Middle Rouge,Springbrook Rec,E of M-14 on Hines,Downstream,Wayne,42.390248,-83.466365
MR-19,52,Middle,Tonquish Creek,Joy Rd,Joy/Lilley,Upstream,Wayne,42.351831,-83.462729
MR-2,53,Middle,Middle Rouge,Reservoir Rd,"S of 6 Mile, E of Hines",Upstream,Wayne,42.408,-83.47076
MR-20,54,Middle,Middle Rouge,Waterford Bd,Waterford Bend,Upstream,Wayne,42.411952,-83.471703
MR-21,55,Middle,Tonquish Creek,Holliday Pk,Cowan/Woodview,Upstream,Wayne,42.345241,-83.398143
MR-22,91,Middle,Johnson Creek,Maybury south,7 Mile N & Napier,Downstream,Wayne,42.43033,-83.544423
MR-23,95,Middle,Johnson Creek,Maybury north,8 Mile,Downstream,Oakland,42.432475,-83.520006
MR-24,99,Middle,Tonquish Creek,Lion's Pk,Burroughs & Coolidge,Downstream,Wayne,42.364413,-83.464724
MR-25,103,Middle,Johnson Creek,Maybury East,Beck/Main St,Upstream,Wayne,42.43058,-83.5135
MR-26,117,Middle,Johnson Creek,Napier Rd,Eight Mile,Downstream,Wayne,42.434306,-83.550725
MR-27,133,Middle,Johnson Creek,Ridge,Ridge S of 7 Mile,Downstream,Wayne,42.41672,-83.531253
MR-28,177,Middle,Tonquish creek,N Branch Tonquish,Eaton Drive,Upstream,Wayne,42.380628,-83.497516
MR-2a,56,Middle,Middle Rouge,Reservoir Rd W,"S of 6 Mile, E of Hines",Downstream,Wayne,42.4089,-83.4704
MR-3,57,Middle,Middle Rouge,Plym Riverside,S of Plymouth,Downstream,Wayne,42.37402,-83.45532
MR-4,58,Middle,Middle Rouge,Levan Knoll,"W of Levan Knoll, S of Hines",Downstream,Wayne,42.359863,-83.40045
MR-5,59,Middle,Middle Rouge,Valley View,"E of Nankin, S of Hines",Downstream,Wayne,42.34447,-83.36118
MR-6,60,Middle,Middle Rouge,Sherwood,"E of Merriman, N of Hines",Upstream,Wayne,42.34132,-83.33765
MR-7,61,Middle,Middle Rouge,Hills Dr,W of Middlebelt,Downstream,Wayne,42.34286,-83.32853
MR-8,62,Middle,Middle Rouge,Inkster Rd,"W of Inkster, S of Hines",Upstream,Wayne,42.34893,-83.31455
MR-9,63,Middle,Middle Rouge,Beech Daly,E of Beech Daly,Upstream,Wayne,42.34732,-83.29135
Mur2,28,Main,Murphy Creek,Roeper School,41190 Woodward,Downstream,Oakland,42.59375,-83.25174
Nfowl,120,Lower,Fowler Creek,Fowler Ridge,2N Geddes,Up and Downstream,Washtenaw,42.289405,-83.547127
Nott,29,Main,Nottingham Creek,Country Day,Lahser/13 Mile,Upstream,Oakland,42.51149,-83.26463
Nott2,193,Main,Nottingham Creek,Eisenman,32639 Valley Ridge Dr,,Oakland,42.527109,-83.267861
Nton,64,Middle,Tonquish Creek,S Evergreen St,Harvey & Penniman,Upstream,Wayne,42.37312,-83.47572
Peb1,30,Main,Pebble Creek,Danvers Ct,28314 Danvers Ct,Downstream,Oakland,42.50133,-83.32912
Peb2,31,Main,Pebble Creek,Pebble 13 Mile,13 Mile/Middlebelt,Upstream,Oakland,42.51521,-83.34402
Peb3,100,Main,Pebble Creek,Pebble d/s Dam,Danvers Drive,Downstream,Oakland,42.500849,-83.324474
Peb4,162,Main,Pebble Creek,10 Mile,Beech Rd,Upstream,Oakland,42.4716,-83.30391
Peb5,178,Main,Pebble Creek,Ravine Drive,Orchard Lake N of 13 Mile,Downstream,Oakland,42.521306,-83.357611
Rav,163,Main,Ravines Branch,10 Mile,Middlebelt/Inkster,Upstream,Oakland,42.47027,-83.33097
See1,7,Upper,Seeley Creek,Seeley  13 M Hagg,13 Mile/Haggerty,Downstream,Oakland,42.51145,-83.4333
See2,8,Upper,Seeley Creek,Sleepy Hollow,Drake/11 Mile,Upstream,Oakland,42.48927,-83.40099
See3,9,Upper,Seeley Creek,Kennedy Ct,Kennedy Court,Upstream,Oakland,42.51073,-83.4304
See4,110,Upper,Seeley Creek,Haggerty Rd,S of 14 Mile,Downstream,Oakland,42.516904,-83.436534
SeeBosch,111,Upper,Seeley Creek,Seeley Bosch,N of 696,Upstream,Oakland,42.491667,-83.421528
SeeSTO,112,Upper,Seeley Creek,Seeley Comm outfall,14 Mile,Upstream,Oakland,42.527377,-83.450018
SimpL,189,Main,Franklin Creek,Simpson Lake,Isle Royal Ct,Upstream,Oakland,42.56288,-83.34577
Sprag,32,Main,Sprague Creek,Main Lloyd Stage,6685 Coolidge,Upstream,Oakland,42.61623,-83.19174
Tar2,10,Upper,Tarabusi Creek,Tara 8 M,8 Mile/Gill,Upstream,Wayne,42.441084,-83.38423
Ton1,65,Middle,Tonquish Creek,Plym Twp Pk,Beck/Ann Arbor Tr,Upstream,Wayne,42.36701,-83.49895
Ton1/2,66,Middle,Tonquish Creek,Canton Ctr Rd,"Canton Ctr Rd, N of Ann Arbor Rd",Downstream,Wayne,42.36437,-83.48939
Ton2,67,Middle,Tonquish Creek,Ann Arbor Rd,Ann Arbor Rd/Lilley,Downstream,Wayne,42.35809,-83.46507
Ton3,140,Middle,Tonquish Creek,Hix Road,east side of Road,Downstream,Wayne,42.334626,-83.418158
ULL,183,Main,Upper Long Lake,Upper Long Lake,"1807 Long Pointe Drive, Bloomfield Township 48302",Up and Downstream,Oakland,42.597873,-83.315586
Up1,11,Upper,Upper Rouge,Heritage Park,Farmington/10 Mile,Upstream,Oakland,42.47526,-83.38567
Up2,12,Upper,Upper Rouge,Shiawassee Park,Shiawassee/Power,Downstream,Oakland,42.46323,-83.36811
Up3,164,Upper,Upper Rouge,Botsford Park,8 Mile Road,Downstream,Wayne,42.43659,-83.32475
Up4,165,Upper,Upper Rouge,Garfield,Five Mile/Telegraph,Upstream,Wayne,42.40314,-83.28834
Up5,179,Upper,Upper Rouge,Botsford Commons,21450 Archwood Circle,Downstream,Oakland,42.4497368,-83.3481324
Up6,192,Upper,Upper Rouge,Goff Nature Preserve,7 Mile/Inkster Rd,downstream,Wayne,42.4270045,-83.3184242
UR-1,13,Upper,Upper Rouge,Lola Valley,Kinloch,Upstream,Wayne,42.4111,-83.3029
UR-2,14,Upper,Bell Branch,Bell Cr Pk,5 Mile/Inkster,Upstream,Wayne,42.401803,-83.310759
UR-3,15,Upper,Tarabusi Creek,Tara 7 M,7 Mile/Merriman,Downstream,Wayne,42.426303,-83.362972
UR-4,94,Upper,Upper Rouge,5M Beech Daly,east of Inkster,Downstream,Wayne,42.400014,-83.286158
UR-5,138,Upper,Beitz Creek,Beitz Creek/6 Mile,6 Mile Rd,Downstream,Wayne,42.411266,-83.379288
Wall0,68,Middle,Walled Lk Drainage,Parm Cider Mill,Old Baseline/ Old Novi Rd,Downstream,Wayne,42.43673,-83.47369
Wall1,69,Middle,Walled Lk Drainage,Rotary Pk,9 Mile/Meadowbrook,Downstream,Oakland,42.44957,-83.46525
Wall2,70,Middle,Walled Lk Drainage,WL 10 M,10 Mile/Novi,Upstream,Oakland,42.46732,-83.46623
Wall3,71,Middle,Walled Lk Drainage,WL 12 M,12 Mile/Taft,Downstream,Oakland,42.49486,-83.49575
Wall4,72,Middle,Walled Lk Drainage,WL Ford Field,Northville/Main Street,Upstream,Wayne,42.43354,-83.48056
Wall5,141,Middle,Walled Lk Drainage,Novi Cemetery,Novi Rd south of Grand River,Downstream,Oakland,42.478094,-83.476623
Wall6,150,Middle,Shawood Lake,Lakeshore Park,13 Mile/S Lake Dr,Upstream,Oakland,42.511663,-83.481374
Wall7,172,Middle,Walled Lake Drainage,Novi Waste Water Treatment Plant,"46351 West Rd, Novi, MI 48377",Upstream,Oakland,42.5091535,-83.4956217
WalnutL,188,Main,Franklin Creek,Walnut Lake,Wendrick,Downstream,Oakland,42.5666,-83.32563
Will1,73,Middle,Willow Creek,Barchester Pk,Ford/Lilley,Up and Downstream,Wayne,42.33002,-83.46422
Will2,144,Middle,Willow Creek,Canton High School,Joy/N Canton Ctr,Downstream,Wayne,42.348115,-83.490179
Will3,145,Middle,Willow Creek,IKEA,Haggerty/Ford Rd,Upstream,Wayne,42.32647,-83.453283
WingL,191,Main,Quarton Branch,Wing Lake,"4331 Geisler Court, Bloomfield Hills, 48301",Upstream,Oakland,42.5553406,-83.2955074
John10,,Middle,Johnson Creek,Nature Area ,,,Washtenaw,42.39842131,-83.52848414
Main21,,Main,Main Rouge,Concrete channel oxbow,,,Wayne,42.307632,-83.220396
Low14,,Lower,Lower Rouge,Dearborn Hills golf course,,,Wayne,42.30177,-83.28
