"","FIELDID","Method","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","COMID","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"28","fel6","Seine",2014-05-20,83,0,1,0,0,1,84.3373493975904,33.7349397590361,0,14.4578313253012,65.0602409638554,10849704,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,-1,-1,0,1,1,1,-1,0,-1
"29","fel6","Seine",2014-09-19,95,0,1,3,1,1,67.3684210526316,48.4210526315789,2.10526315789474,32.6315789473684,48.4210526315789,10849704,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,0,0,0,2
"30","fowl1","Seine",2013-05-10,119,0,1,2,0,0,84.8739495798319,72.2689075630252,0,11.7647058823529,15.1260504201681,10849730,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,0,1,-1,-1,1,1,0,-1,0,-1
"31","fowl1","Seine",2013-09-20,118,0,1,2,1,0,79.6610169491525,71.1864406779661,0,5.08474576271187,27.9661016949153,10849730,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,0,1
"32","fowl1","Seine",2014-05-16,580,0,1,2,1,0,18.1034482758621,16.551724137931,0,1.37931034482759,4.31034482758621,10849730,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,-1,-1,-1,-1,0,-4
"33","fowl1","Seine",2014-09-05,156,0,1,3,1,0,66.6666666666667,53.8461538461538,0.641025641025641,1.92307692307692,16.6666666666667,10849730,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,0,1
"34","fowl2","Seine",2013-05-10,494,0,1,2,0,0,98.7854251012146,94.9392712550607,0,0.607287449392713,4.8582995951417,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-5
"35","fowl2","Seine",2013-09-27,51,0,1,0,1,0,90.1960784313726,58.8235294117647,0,15.6862745098039,41.1764705882353,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,0,-3
"36","fowl2","Seine",2014-05-03,107,0,1,0,1,0,100,75.7009345794392,0,3.73831775700935,24.2990654205607,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,0,-3
"37","fowl2","Seine",2014-08-22,80,0,2,4,1,0,81.25,32.5,3.75,21.25,57.5,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,1,0,1,0,2
"38","fowl2","Seine",2016-08-22,137,1,2,5,1,1,74.4525547445255,22.6277372262774,0.72992700729927,16.0583941605839,62.7737226277372,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,-1,1,-1,0,-1
"39","fowl2","Seine",2017-05-20,208,2,1,4,1,0,87.5,74.0384615384615,0,1.44230769230769,21.6346153846154,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,0,-1
"40","fowl2","Seine",2017-07-29,261,1,2,5,1,0,61.6858237547893,21.455938697318,1.53256704980843,8.42911877394636,75.8620689655172,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,-1,1,0,0,0
"41","fowl2","Seine",2018-05-05,115,0,1,1,1,0,81.7391304347826,32.1739130434783,0,3.47826086956522,67.8260869565217,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,1,-1,0,-2
"42","fowl2","Seine",2018-08-16,130,1,1,4,1,0,45.3846153846154,16.1538461538462,2.30769230769231,10.7692307692308,80.7692307692308,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,0,0,-1
"43","fowl2","Seine",2019-08-18,162,0,2,5,1,0,44.4444444444444,10.4938271604938,1.23456790123457,9.87654320987654,87.6543209876543,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,-1,1,0,0,0
"44","fowl2","Seine",2020-08-19,129,1,2,4,1,0,31.0077519379845,9.30232558139535,0.775193798449612,6.2015503875969,88.3720930232558,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,-1,-1,1,-1,0,-3
"45","fowl2","Seine",2021-08-26,86,1,1,4,0,0,31.3953488372093,2.32558139534884,2.32558139534884,3.48837209302326,87.2093023255814,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,-1,-1,1,0,0,-4
"46","fowl2","Seine",2022-09-24,243,0,2,4,1,0,34.5679012345679,13.9917695473251,1.64609053497942,8.64197530864197,84.3621399176955,10849786,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,-1,-1,1,0,0,-2
"47","fowl3","Seine",2013-06-01,27,0,1,0,0,0,62.962962962963,55.5555555555556,0,3.7037037037037,44.4444444444444,10849806,5,6,3.8,1.1,0.55,0.85,0.425,0.7,0.33,0.95,0.48,39,75,31,72,62,15,3,1,47,1,-1,0,-1,-1,-1,1,1,0,-1,0,-3
"48","fowl3","Seine",2013-09-20,180,0,1,3,1,0,62.7777777777778,36.6666666666667,0,10,41.1111111111111,10849806,5,6,3.8,1.1,0.55,0.85,0.425,0.7,0.33,0.95,0.48,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,0,1
"49","fowl3","Seine",2014-05-16,149,0,1,1,1,0,54.3624161073826,42.9530201342282,0,0.671140939597315,15.4362416107383,10849806,5,6,3.8,1.1,0.55,0.85,0.425,0.7,0.33,0.95,0.48,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,-1,0
"50","fowl3","Seine",2014-09-05,254,0,1,1,1,0,59.8425196850394,39.7637795275591,0,2.75590551181102,56.6929133858268,10849806,5,6,3.8,1.1,0.55,0.85,0.425,0.7,0.33,0.95,0.48,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,0,1
"51","fowl4","Seine",2015-08-29,30,0,1,2,0,0,86.6666666666667,66.6666666666667,3.33333333333333,10,30,10849812,11.3333333333333,13.6,8.61333333333331,2.49333333333333,1.24666666666666,1.92666666666666,0.963333333333331,1.58666666666666,0.747999999999998,2.15333333333333,1.088,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,1,0,1,0,0
"52","fowl4","Seine",2021-08-26,96,1,2,3,1,0,73.9583333333333,45.8333333333333,0,36.4583333333333,53.125,10849812,11.3333333333333,13.6,8.61333333333331,2.49333333333333,1.24666666666666,1.92666666666666,0.963333333333331,1.58666666666666,0.747999999999998,2.15333333333333,1.088,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,1,0,-1,0,0
"53","fowl4","Seine",2023-07-05,202,0,1,2,1,0,88.6138613861386,45.5445544554455,1.98019801980198,30.6930693069307,49.5049504950495,10849812,11.3333333333333,13.6,8.61333333333331,2.49333333333333,1.24666666666666,1.92666666666666,0.963333333333331,1.58666666666666,0.747999999999998,2.15333333333333,1.088,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,0,0,0
"54","fowl5","Seine",2016-08-22,112,1,1,5,1,1,61.6071428571429,27.6785714285714,1.78571428571429,12.5,63.3928571428571,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,0,0,-1
"55","fowl5","Seine",2017-05-20,107,0,1,4,1,0,68.2242990654206,34.5794392523364,0,29.9065420560748,62.6168224299065,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,1,-1,0,0
"56","fowl5","Seine",2017-07-29,172,0,1,4,1,0,87.2093023255814,50,0,21.5116279069767,48.8372093023256,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,0,-1
"57","fowl5","Seine",2018-08-16,227,0,1,3,1,0,89.4273127753304,47.136563876652,0.881057268722467,14.0969162995595,50.2202643171806,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,0,-1
"58","fowl5","Seine",2019-08-16,192,0,1,4,1,0,84.8958333333333,47.3958333333333,3.64583333333333,4.6875,46.875,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,1,0,1
"59","fowl5","Seine",2020-08-06,119,1,1,3,1,0,62.1848739495798,16.8067226890756,0,8.40336134453782,77.3109243697479,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,-1,0,-2
"60","fowl5","Seine",2021-07-08,362,0,1,4,1,0,90.8839779005525,57.182320441989,1.65745856353591,1.10497237569061,41.1602209944751,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,0,0,0
"61","fowl5","Seine",2022-07-18,225,0,1,4,1,0,65.7777777777778,38.6666666666667,0.444444444444444,1.77777777777778,60.4444444444444,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,0,-1
"62","fowl5","Seine",2023-07-05,257,0,1,2,1,0,84.8249027237354,67.3151750972763,0,10.8949416342412,32.6848249027237,10849784,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,0,0,-1,1,1,0,-1,0,-2
"63","fowl6","Seine",2018-04-30,68,0,0,0,0,0,73.5294117647059,73.5294117647059,0,0,7.35294117647059,10849730,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-6
"64","fowl6","Seine",2018-08-16,70,0,0,2,0,0,85.7142857142857,84.2857142857143,0,0,15.7142857142857,10849730,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,1,0,-1,-1,-3
"65","frank1","Seine",2015-09-18,304,0,0,0,1,1,95.0657894736842,95.0657894736842,0,94.7368421052632,4.93421052631579,10848522,14.15,14,10,3.113,1.5565,2.4055,1.20275,1.981,0.9339,2.6885,1.3584,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,-1,-1,1,-3
"66","frank1","Seine",2022-07-07,93,0,0,0,1,1,81.7204301075269,81.7204301075269,0,75.2688172043011,18.2795698924731,10848522,14.15,14,10,3.113,1.5565,2.4055,1.20275,1.981,0.9339,2.6885,1.3584,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,1,-2
"67","frank2","Seine",2015-09-18,342,0,0,2,1,0,74.5614035087719,74.5614035087719,0,65.2046783625731,25.4385964912281,10848482,15,14,10,3,2,2.55,1.275,2,2,2.85,1.44,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,-1,1,-2
"68","ing1","Seine",2015-09-11,54,0,1,2,1,0,88.8888888888889,62.962962962963,1.85185185185185,22.2222222222222,35.1851851851852,10849424,5.5,6.6,4.18,1.21,0.605,0.935,0.4675,0.77,0.363,1.045,0.528,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,0,0,2
"69","john1","Seine",2012-05-24,418,1,2,3,1,2,45.933014354067,40.4306220095694,0,22.9665071770335,35.8851674641148,10849630,11.2,13.44,8.512,2.464,1.232,1.904,0.952,1.568,0.7392,2.128,1.0752,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,0,-1,0,1
"70","john1","Seine",2022-06-06,119,1,1,1,0,2,21.0084033613445,21.0084033613445,0.840336134453782,66.3865546218487,74.7899159663866,10849630,11.2,13.44,8.512,2.464,1.232,1.904,0.952,1.568,0.7392,2.128,1.0752,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,0,-1,-1,1,-1,1,-4
"71","john1","Seine",2023-06-20,273,1,2,3,1,2,35.5311355311355,32.967032967033,0.366300366300366,66.3003663003663,61.5384615384615,10849630,11.2,13.44,8.512,2.464,1.232,1.904,0.952,1.568,0.7392,2.128,1.0752,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,-1,1,0,-1,1,0
"72","john2","Seine",2012-05-25,250,3,2,2,1,4,81.2,63.6,0,10,29.6,10849614,15,14,10,3,2,2.55,1.275,2,2,2.85,1.44,39,75,31,72,62,15,3,1,47,1,-1,0,0,-1,1,1,1,0,-1,0,0
"73","john2","Seine",2018-06-26,154,2,2,3,1,2,59.7402597402597,56.4935064935065,15.5844155844156,7.79220779220779,20.7792207792208,10849614,15,14,10,3,2,2.55,1.275,2,2,2.85,1.44,39,75,31,72,62,15,3,1,47,1,-1,0,1,-1,0,1,1,0,1,0,2
"74","john2","Seine",2021-05-21,33,2,2,2,1,3,42.4242424242424,36.3636363636364,0,42.4242424242424,51.5151515151515,10849614,15,14,10,3,2,2.55,1.275,2,2,2.85,1.44,39,75,31,72,62,15,3,1,47,1,-1,0,0,-1,1,1,1,0,-1,0,0
"75","john2","Seine",2022-06-06,87,1,2,3,1,1,43.6781609195402,36.7816091954023,0,8.04597701149425,63.2183908045977,10849614,15,14,10,3,2,2.55,1.275,2,2,2.85,1.44,39,75,31,72,62,15,3,1,47,1,-1,0,1,-1,-1,1,1,1,-1,0,0
"76","john2","Seine",2023-05-04,22,1,2,0,1,2,45.4545454545455,9.09090909090909,0,45.4545454545455,90.9090909090909,10849614,15,14,10,3,2,2.55,1.275,2,2,2.85,1.44,39,75,31,72,62,15,3,1,47,1,-1,0,-1,-1,0,1,-1,1,-1,0,-3
"77","john3","Seine",2012-05-29,142,2,2,1,0,3,52.8169014084507,43.6619718309859,0,8.45070422535211,53.5211267605634,10849522,14,14,10,3.08,1.54,2.38,1.19,1.96,0.924,2.66,1.344,39,75,31,72,62,15,3,1,47,1,-1,0,-1,-1,1,1,1,0,-1,0,-1
"78","john3","Seine",2018-06-26,70,1,1,2,1,2,35.7142857142857,35.7142857142857,1.42857142857143,21.4285714285714,57.1428571428571,10849522,14,14,10,3.08,1.54,2.38,1.19,1.96,0.924,2.66,1.344,39,75,31,72,62,15,3,1,47,1,-1,-1,0,0,0,-1,1,0,0,0,-2
"79","john5","Seine",2012-05-31,75,2,2,3,1,3,26.6666666666667,12,0,9.33333333333333,70.6666666666667,10850134,16.0444444444444,14,10,3,2,2.72755555555555,1.36377777777777,2,2,3.04844444444444,1.54026666666666,39,75,31,72,62,15,3,1,47,1,-1,0,1,-1,0,-1,-1,1,-1,0,-3
