"","FIELDID","COMID","Method","TotalFish","Total_score","DateSampled","year","month","FinalScore","Intreptation","Branch","StreamName","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score"
"18","fel3",10849674,"Seine",88,1,2014-09-06,2014,9,1,"acceptable:postive","Lower","Fellows Creek",0,1,2,1,1,68.1818181818182,39.7727272727273,2.27272727272727,14.7727272727273,56.8181818181818,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,0,1,1,0,0,0
"19","fel4",10849736,"Seine",107,-2,2014-09-19,2014,9,-2,"acceptable:negative","Lower","Fellows Creek",0,1,2,0,0,46.7289719626168,23.3644859813084,0,54.2056074766355,75.7009345794392,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,-1,1,-1,1
"20","fel4",10849736,"Seine",113,-2,2013-09-27,2013,9,-2,"acceptable:negative","Lower","Fellows Creek",0,1,2,1,0,70.7964601769911,27.4336283185841,0.884955752212389,30.0884955752212,69.0265486725664,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,-1,0
"21","fel4",10849736,"Seine",161,0,2014-06-13,2014,6,0,"neutral","Lower","Fellows Creek",0,1,2,1,0,61.4906832298137,34.7826086956522,0,39.751552795031,62.111801242236,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,1,-1,0
"22","fel4",10849736,"Seine",340,-1,2023-06-28,2023,6,-1,"acceptable:negative","Lower","Fellows Creek",0,2,3,1,0,60,19.4117647058824,0.294117647058824,44.1176470588235,80.2941176470588,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,-1,1,-1,0
"23","fel4",10849736,"Shocking",227,1,2022-07-11,2022,7,1,"acceptable:postive","Lower","Fellows Creek",0,2,3,1,0,57.7092511013216,34.8017621145374,0,45.8149779735683,63.8766519823789,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,1,1,-1,0
"24","fel5",10849704,"Seine",142,0,2013-09-27,2013,9,0,"neutral","Lower","Fellows Creek",0,1,1,1,1,93.6619718309859,54.2253521126761,0,11.9718309859155,45.7746478873239,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,0,0,0,1,1,0,-1,0
"25","fel5",10849704,"Seine",37,-4,2013-06-22,2013,6,-12,"poorlowfish","Lower","Fellows Creek",0,1,0,0,0,100,13.5135135135135,0,10.8108108108108,86.4864864864865,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,-1,-1,-1,1,-1,1,-1,0
"26","fel5",10849704,"Seine",56,1,2014-09-06,2014,9,1,"acceptable:postive","Lower","Fellows Creek",0,1,1,0,1,85.7142857142857,35.7142857142857,1.78571428571429,17.8571428571429,62.5,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,0,-1,0,1,1,1,0,0
"27","fel6",10849704,"Seine",138,2,2013-09-27,2013,9,2,"acceptable:postive","Lower","Fellows Creek",0,1,2,1,1,77.536231884058,31.1594202898551,0.72463768115942,16.6666666666667,68.1159420289855,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,1,-1,0
"28","fel6",10849704,"Seine",72,1,2013-06-22,2013,6,1,"acceptable:postive","Lower","Fellows Creek",0,1,4,1,1,83.3333333333333,52.7777777777778,0,8.33333333333333,43.0555555555556,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,0,-1,0
"29","fel6",10849704,"Seine",95,2,2014-09-19,2014,9,2,"acceptable:postive","Lower","Fellows Creek",0,1,3,1,1,67.3684210526316,48.4210526315789,2.10526315789474,32.6315789473684,48.4210526315789,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,0,0,0
"30","fel6",10849704,"Shocking",34,-2,2022-06-13,2022,6,-12,"poorlowfish","Lower","Fellows Creek",0,0,1,1,0,88.2352941176471,67.6470588235294,0,20.5882352941176,32.3529411764706,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,-1,0,0,-1,1,1,0,-1,0
"31","fowl1",10849730,"Seine",118,1,2013-09-20,2013,9,1,"acceptable:postive","Lower","Fowler Creek",0,1,2,1,0,79.6610169491525,71.1864406779661,0,5.08474576271187,27.9661016949153,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,0
"32","fowl1",10849730,"Seine",156,1,2014-09-05,2014,9,1,"acceptable:postive","Lower","Fowler Creek",0,1,3,1,0,66.6666666666667,53.8461538461538,0.641025641025641,1.92307692307692,16.6666666666667,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,0
"33","fowl2",10849786,"Seine",129,-3,2020-08-19,2020,8,-3,"acceptable:negative","Lower","Fowler Creek",1,2,4,1,0,31.0077519379845,9.30232558139535,0.775193798449612,6.2015503875969,88.3720930232558,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,-1,-1,1,-1,0
"34","fowl2",10849786,"Seine",130,-1,2018-08-16,2018,8,-1,"acceptable:negative","Lower","Fowler Creek",1,1,4,1,0,45.3846153846154,16.1538461538462,2.30769230769231,10.7692307692308,80.7692307692308,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,0,0
"35","fowl2",10849786,"Seine",137,-1,2016-08-22,2016,8,-1,"acceptable:negative","Lower","Fowler Creek",1,2,5,1,1,74.4525547445255,22.6277372262774,0.72992700729927,16.0583941605839,62.7737226277372,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,-1,1,-1,0
"36","fowl2",10849786,"Seine",162,0,2019-08-18,2019,8,0,"neutral","Lower","Fowler Creek",0,2,5,1,0,44.4444444444444,10.4938271604938,1.23456790123457,9.87654320987654,87.6543209876543,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,-1,1,0,0
"37","fowl2",10849786,"Seine",243,-2,2022-09-24,2022,9,-2,"acceptable:negative","Lower","Fowler Creek",0,2,4,1,0,34.5679012345679,13.9917695473251,1.64609053497942,8.64197530864197,84.3621399176955,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,-1,-1,1,0,0
"38","fowl2",10849786,"Seine",261,0,2017-07-29,2017,7,0,"neutral","Lower","Fowler Creek",1,2,5,1,0,61.6858237547893,21.455938697318,1.53256704980843,8.42911877394636,75.8620689655172,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,-1,1,0,0
"39","fowl2",10849786,"Seine",51,-3,2013-09-27,2013,9,-3,"acceptable:negative","Lower","Fowler Creek",0,1,0,1,0,90.1960784313726,58.8235294117647,0,15.6862745098039,41.1764705882353,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,0
"40","fowl2",10849786,"Seine",80,2,2014-08-22,2014,8,2,"acceptable:postive","Lower","Fowler Creek",0,2,4,1,0,81.25,32.5,3.75,21.25,57.5,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,1,0,1,0
"41","fowl2",10849786,"Seine",86,-4,2021-08-26,2021,8,-4,"poor","Lower","Fowler Creek",1,1,4,0,0,31.3953488372093,2.32558139534884,2.32558139534884,3.48837209302326,87.2093023255814,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,-1,-1,1,0,0
"42","fowl2",10849786,"Shocking",127,-1,2022-07-19,2022,7,-1,"acceptable:negative","Lower","Fowler Creek",1,1,4,1,0,61.4173228346457,25.9842519685039,2.36220472440945,18.8976377952756,64.5669291338583,14.1333333333333,14,10,3.10933333333333,1.55466666666666,2.40266666666666,1.20133333333333,1.97866666666666,0.932799999999998,2.68533333333333,1.3568,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,0,0
"43","fowl3",10849806,"Seine",180,1,2013-09-20,2013,9,1,"acceptable:postive","Lower","Fowler Creek",0,1,3,1,0,62.7777777777778,36.6666666666667,0,10,41.1111111111111,5,6,3.8,1.1,0.55,0.85,0.425,0.7,0.33,0.95,0.48,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,0
"44","fowl3",10849806,"Seine",254,1,2014-09-05,2014,9,1,"acceptable:postive","Lower","Fowler Creek",0,1,1,1,0,59.8425196850394,39.7637795275591,0,2.75590551181102,56.6929133858268,5,6,3.8,1.1,0.55,0.85,0.425,0.7,0.33,0.95,0.48,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,-1,0
"45","fowl3",10849806,"Seine",27,-3,2013-06-01,2013,6,-12,"poorlowfish","Lower","Fowler Creek",0,1,0,0,0,62.962962962963,55.5555555555556,0,3.7037037037037,44.4444444444444,5,6,3.8,1.1,0.55,0.85,0.425,0.7,0.33,0.95,0.48,39,75,31,72,62,15,3,1,47,1,-1,0,-1,-1,-1,1,1,0,-1,0
"46","fowl4",10849812,"Seine",202,0,2023-07-05,2023,7,0,"neutral","Lower","Fowler Creek",0,1,2,1,0,88.6138613861386,45.5445544554455,1.98019801980198,30.6930693069307,49.5049504950495,11.3333333333333,13.6,8.61333333333331,2.49333333333333,1.24666666666666,1.92666666666666,0.963333333333331,1.58666666666666,0.747999999999998,2.15333333333333,1.088,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,0,0
"47","fowl4",10849812,"Seine",30,0,2015-08-29,2015,8,-12,"poorlowfish","Lower","Fowler Creek",0,1,2,0,0,86.6666666666667,66.6666666666667,3.33333333333333,10,30,11.3333333333333,13.6,8.61333333333331,2.49333333333333,1.24666666666666,1.92666666666666,0.963333333333331,1.58666666666666,0.747999999999998,2.15333333333333,1.088,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,1,0,1,0
"48","fowl4",10849812,"Seine",96,0,2021-08-26,2021,8,0,"neutral","Lower","Fowler Creek",1,2,3,1,0,73.9583333333333,45.8333333333333,0,36.4583333333333,53.125,11.3333333333333,13.6,8.61333333333331,2.49333333333333,1.24666666666666,1.92666666666666,0.963333333333331,1.58666666666666,0.747999999999998,2.15333333333333,1.088,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,1,0,-1,0
"49","fowl4",10849812,"Shocking",181,-1,2022-07-18,2022,7,-1,"acceptable:negative","Lower","Fowler Creek",0,1,2,1,0,86.7403314917127,58.0110497237569,0,37.0165745856354,41.9889502762431,11.3333333333333,13.6,8.61333333333331,2.49333333333333,1.24666666666666,1.92666666666666,0.963333333333331,1.58666666666666,0.747999999999998,2.15333333333333,1.088,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,0
"50","fowl5",10849784,"Seine",112,-1,2016-08-22,2016,8,-1,"acceptable:negative","Lower","Fowler Creek",1,1,5,1,1,61.6071428571429,27.6785714285714,1.78571428571429,12.5,63.3928571428571,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,0,0
"51","fowl5",10849784,"Seine",119,-2,2020-08-06,2020,8,-2,"acceptable:negative","Lower","Fowler Creek",1,1,3,1,0,62.1848739495798,16.8067226890756,0,8.40336134453782,77.3109243697479,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,-1,0
"52","fowl5",10849784,"Seine",172,-1,2017-07-29,2017,7,-1,"acceptable:negative","Lower","Fowler Creek",0,1,4,1,0,87.2093023255814,50,0,21.5116279069767,48.8372093023256,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,0
"53","fowl5",10849784,"Seine",192,1,2019-08-16,2019,8,1,"acceptable:postive","Lower","Fowler Creek",0,1,4,1,0,84.8958333333333,47.3958333333333,3.64583333333333,4.6875,46.875,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,1,0
"54","fowl5",10849784,"Seine",225,-1,2022-07-18,2022,7,-1,"acceptable:negative","Lower","Fowler Creek",0,1,4,1,0,65.7777777777778,38.6666666666667,0.444444444444444,1.77777777777778,60.4444444444444,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,0
"55","fowl5",10849784,"Seine",227,-1,2018-08-16,2018,8,-1,"acceptable:negative","Lower","Fowler Creek",0,1,3,1,0,89.4273127753304,47.136563876652,0.881057268722467,14.0969162995595,50.2202643171806,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,0
"56","fowl5",10849784,"Seine",257,-2,2023-07-05,2023,7,-2,"acceptable:negative","Lower","Fowler Creek",0,1,2,1,0,84.8249027237354,67.3151750972763,0,10.8949416342412,32.6848249027237,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,0,0,-1,1,1,0,-1,0
"57","fowl5",10849784,"Seine",362,0,2021-07-08,2021,7,0,"neutral","Lower","Fowler Creek",0,1,4,1,0,90.8839779005525,57.182320441989,1.65745856353591,1.10497237569061,41.1602209944751,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,0,0
"58","fowl5",10849784,"Shocking",82,-3,2022-07-18,2022,7,-3,"acceptable:negative","Lower","Fowler Creek",0,1,2,0,0,90.2439024390244,43.9024390243902,0,6.09756097560976,56.0975609756098,12.0833333333333,14,10,2.65833333333333,1.32916666666666,2.05416666666666,1.02708333333333,1.69166666666666,0.797499999999998,2.29583333333333,1.16,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,-1,0
"59","fowl6",10849730,"Seine",70,-3,2018-08-16,2018,8,-3,"acceptable:negative","Lower","Fowler Creek",0,0,2,0,0,85.7142857142857,84.2857142857143,0,0,15.7142857142857,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,1,0,-1,-1
"60","frank1",10848522,"Seine",304,-3,2015-09-18,2015,9,-3,"acceptable:negative","Main","Franklin Creek",0,0,0,1,1,95.0657894736842,95.0657894736842,0,94.7368421052632,4.93421052631579,14.15,14,10,3.113,1.5565,2.4055,1.20275,1.981,0.9339,2.6885,1.3584,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,-1,-1,1
"61","frank1",10848522,"Seine",93,-2,2022-07-07,2022,7,-2,"acceptable:negative","Main","Franklin Creek",0,0,0,1,1,81.7204301075269,81.7204301075269,0,75.2688172043011,18.2795698924731,14.15,14,10,3.113,1.5565,2.4055,1.20275,1.981,0.9339,2.6885,1.3584,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,1
"62","frank1",10848522,"Shocking",311,-2,2022-07-07,2022,7,-2,"acceptable:negative","Main","Franklin Creek",0,0,0,1,1,74.5980707395498,74.5980707395498,0,50.1607717041801,23.4726688102894,14.15,14,10,3.113,1.5565,2.4055,1.20275,1.981,0.9339,2.6885,1.3584,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,1
"63","frank2",10848482,"Seine",342,-2,2015-09-18,2015,9,-2,"acceptable:negative","Main","Franklin Creek",0,0,2,1,0,74.5614035087719,74.5614035087719,0,65.2046783625731,25.4385964912281,15,14,10,3,2,2.55,1.275,2,2,2.85,1.44,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,-1,1
"64","ing1",10849424,"Seine",54,2,2015-09-11,2015,9,2,"acceptable:postive","Middle","Ingersoll Creek",0,1,2,1,0,88.8888888888889,62.962962962963,1.85185185185185,22.2222222222222,35.1851851851852,5.5,6.6,4.18,1.21,0.605,0.935,0.4675,0.77,0.363,1.045,0.528,39,75,31,72,62,15,3,1,47,1,-1,0,1,1,-1,1,1,0,0,0
"65","john1",10849630,"Seine",119,-4,2022-06-06,2022,6,-4,"poor","Middle","Johnson Creek",1,1,1,0,2,21.0084033613445,21.0084033613445,0.840336134453782,66.3865546218487,74.7899159663866,11.2,13.44,8.512,2.464,1.232,1.904,0.952,1.568,0.7392,2.128,1.0752,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,0,-1,-1,1,-1,1
"66","john1",10849630,"Seine",273,0,2023-06-20,2023,6,0,"neutral","Middle","Johnson Creek",1,2,3,1,2,35.5311355311355,32.967032967033,0.366300366300366,66.3003663003663,61.5384615384615,11.2,13.44,8.512,2.464,1.232,1.904,0.952,1.568,0.7392,2.128,1.0752,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,-1,1,0,-1,1
