"","FIELDID","Method","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores"
"70","main12","Shocking",2022-07-22,110,15,0,4,2,1,45.4545454545455,47.2727272727273,7.27272727272727,10.9090909090909,20
"71","main12n","Shocking",2022-07-22,31,13,0,5,1,0,38.7096774193548,38.7096774193548,9.67741935483871,6.45161290322581,16.1290322580645
"72","main13","Shocking",2022-06-24,143,10,1,4,1,1,41.2587412587413,17.4825174825175,4.1958041958042,54.5454545454545,72.7272727272727
"73","main18","Shocking",2022-06-24,137,9,1,4,1,1,51.8248175182482,32.8467153284672,3.64963503649635,37.2262773722628,63.5036496350365
"74","main19","Shocking",2022-06-30,81,10,2,4,1,1,44.4444444444444,32.0987654320988,2.46913580246914,66.6666666666667,65.4320987654321
"75","main3","Shocking",2022-06-29,90,7,0,1,1,2,36.6666666666667,36.6666666666667,23.3333333333333,62.2222222222222,36.6666666666667
"76","main5","Shocking",2022-06-23,79,12,2,2,1,2,32.9113924050633,30.379746835443,5.06329113924051,65.8227848101266,53.1645569620253
"77","main6","Shocking",2022-07-07,407,18,2,4,1,2,72.7272727272727,59.4594594594595,4.42260442260442,59.4594594594595,31.4496314496315
"78","min2","Shocking",2022-06-16,87,10,1,2,1,1,36.7816091954023,27.5862068965517,0,16.0919540229885,67.816091954023
"79","mn-2","Shocking",2022-06-23,34,3,1,1,1,0,94.1176470588235,94.1176470588235,0,97.0588235294118,5.88235294117647
"80","mn-5","Shocking",2022-07-27,63,9,2,4,1,1,65.0793650793651,49.2063492063492,19.047619047619,55.5555555555556,31.7460317460317
"81","mn-7a","Shocking",2022-07-27,168,14,1,4,1,1,81.547619047619,79.1666666666667,1.19047619047619,55.952380952381,17.8571428571429
"82","mr-11","Shocking",2022-07-05,44,14,1,3,1,1,27.2727272727273,25,15.9090909090909,15.9090909090909,59.0909090909091
"83","mr-15","Shocking",2022-06-22,21,10,2,3,0,1,19.047619047619,9.52380952380952,9.52380952380952,19.047619047619,80.952380952381
"84","mr-18","Shocking",2022-08-09,102,13,1,6,1,2,43.1372549019608,41.1764705882353,51.9607843137255,22.5490196078431,6.86274509803922
"85","mr-4","Shocking",2022-07-13,41,9,0,4,0,2,4.8780487804878,12.1951219512195,43.9024390243902,0,39.0243902439024
"86","mr-9","Shocking",2022-07-13,60,10,0,3,1,1,66.6666666666667,63.3333333333333,5,55,30
"87","peb2","Shocking",2022-06-30,120,5,0,1,1,0,99.1666666666667,98.3333333333333,0,80.8333333333333,1.66666666666667
"88","see3","Shocking",2022-06-15,83,11,1,2,1,1,68.6746987951807,62.6506024096386,0,53.0120481927711,34.9397590361446
"89","tar2","Shocking",2022-06-17,171,8,1,2,1,0,69.0058479532164,64.9122807017544,0,46.1988304093567,35.0877192982456
"90","ton1","Shocking",2022-06-14,42,7,1,3,0,2,61.9047619047619,57.1428571428571,2.38095238095238,26.1904761904762,40.4761904761905
"91","ton3","Shocking",2022-06-14,64,8,1,2,1,0,82.8125,71.875,0,45.3125,28.125
"92","up1","Shocking",2022-06-16,95,13,2,3,2,4,46.3157894736842,38.9473684210526,0,63.1578947368421,58.9473684210526
"93","ur-1","Shocking",2022-06-27,107,10,1,2,1,0,82.2429906542056,58.8785046728972,0,37.3831775700935,40.1869158878505
"94","ur-2","Shocking",2022-06-27,136,8,1,1,1,0,83.8235294117647,79.4117647058823,0,41.1764705882353,20.5882352941176
"95","wall2","Shocking",2022-07-06,131,6,1,2,1,0,99.236641221374,96.9465648854962,0,75.5725190839695,3.05343511450382
"96","will1","Shocking",2022-07-26,239,8,1,2,1,0,97.489539748954,65.6903765690377,0.418410041841004,33.0543933054393,33.0543933054393
