"","FIELDID","COMID","year","month","Method","TotalFish","Total_score","DateSampled","FinalScore","Intreptation","Branch","StreamName"
"45","fowl2",10849786,2022,7,"Shocking",127,-1,2022-07-19,-1,"acceptable:negative","Lower","Fowler Creek"
"46","fowl4",10849812,2022,7,"Shocking",181,-1,2022-07-18,-1,"acceptable:negative","Lower","Fowler Creek"
"47","fowl5",10849784,2022,7,"Shocking",82,-3,2022-07-18,-3,"acceptable:negative","Lower","Fowler Creek"
"48","frank1",10848522,2022,7,"Shocking",311,-2,2022-07-07,-2,"acceptable:negative","Main","Franklin Creek"
"49","john1",10849630,2022,7,"Shocking",368,1,2022-07-12,1,"acceptable:postive","Middle","Johnson Creek"
"50","john6",10850134,2022,8,"Shocking",137,1,2022-08-09,1,"acceptable:postive","Middle","Johnson Creek"
"51","low2",10849724,2022,7,"Shocking",56,0,2022-07-26,0,"neutral","Lower","Lower Rouge"
"52","lr-10",10849762,2022,7,"Shocking",76,-3,2022-07-05,-3,"acceptable:negative","Lower","Lower Rouge"
"53","lr-11a",10850162,2022,7,"Shocking",29,-4,2022-07-05,-12,"poorlowfish","Lower","Lower Rouge"
"54","lr-12",10849800,2022,7,"Shocking",140,1,2022-07-20,1,"acceptable:postive","Lower","Lower Rouge"
"55","lr-2",10850168,2022,7,"Shocking",138,-1,2022-07-19,-1,"acceptable:negative","Lower","Lower Rouge"
"56","lr-5",10849756,2022,7,"Shocking",99,-2,2022-07-11,-2,"acceptable:negative","Lower","Fellows Creek"
"57","lr-6",10849790,2022,6,"Shocking",107,-3,2022-06-28,-3,"acceptable:negative","Lower","Lower Rouge"
"58","main10",10849770,2022,7,"Shocking",78,3,2022-07-22,3,"acceptable:postive","Main","Main Rouge"
"59","main11",10848598,2022,6,"Shocking",107,-4,2022-06-29,-4,"poor","Main","Quarton Branch"
"60","main12n",10849770,2022,7,"Shocking",31,-2,2022-07-22,-12,"poorlowfish","Main","Main Rouge"
"61","main13",10848472,2022,6,"Shocking",143,0,2022-06-24,0,"neutral","Main","Main Rouge"
"62","main18",10848472,2022,6,"Shocking",137,1,2022-06-24,1,"acceptable:postive","Main","Main Rouge"
"63","main19",10849462,2022,6,"Shocking",81,2,2022-06-30,2,"acceptable:postive","Main","Main Rouge"
"64","main3",10848472,2022,6,"Shocking",90,-2,2022-06-29,-2,"acceptable:negative","Main","Main Rouge"
"65","main5",10848602,2022,6,"Shocking",79,-2,2022-06-23,-2,"acceptable:negative","Main","Main Rouge"
"66","main6",10849438,2022,7,"Shocking",407,3,2022-07-07,3,"acceptable:postive","Main","Main Rouge"
"67","min2",10849378,2022,6,"Shocking",87,-6,2022-06-16,-6,"poor","Upper","Minnow Pond"
"68","mn-2",10849618,2022,6,"Shocking",34,-4,2022-06-23,-12,"poorlowfish","Main","Main Rouge"
"69","mn-5",10849484,2022,7,"Shocking",63,2,2022-07-27,2,"acceptable:postive","Main","Main Rouge"
"70","mn-7a",10850152,2022,7,"Shocking",168,0,2022-07-27,0,"neutral","Main","Main Rouge"
"71","mr-11",10850156,2022,7,"Shocking",44,-5,2022-07-05,-12,"poorlowfish","Middle","Middle Rouge"
"72","mr-15",10850156,2022,6,"Shocking",21,-3,2022-06-22,-12,"poorlowfish","Middle","Middle Rouge"
"73","mr-18",10849622,2022,8,"Shocking",102,0,2022-08-09,0,"neutral","Middle","Middle Rouge"
"74","mr-4",10849648,2022,7,"Shocking",41,-4,2022-07-13,-12,"poorlowfish","Middle","Middle Rouge"
"75","mr-9",10850156,2022,7,"Shocking",60,0,2022-07-13,0,"neutral","Middle","Middle Rouge"
"76","peb2",10848526,2022,6,"Shocking",120,-4,2022-06-30,-4,"poor","Main","Pebble Creek"
"77","see3",10848516,2022,6,"Shocking",83,1,2022-06-15,1,"acceptable:postive","Upper","Seeley Creek"
"78","tar2",10849472,2022,6,"Shocking",171,-2,2022-06-17,-2,"acceptable:negative","Upper","Tarabusi Creek"
"79","ton1",10850142,2022,6,"Shocking",42,2,2022-06-14,-12,"poorlowfish","Middle","Tonquish Creek"
"80","ton3",10849700,2022,6,"Shocking",64,-2,2022-06-14,-2,"acceptable:negative","Middle","Tonquish Creek"
"81","up1",10849602,2022,6,"Shocking",95,2,2022-06-16,2,"acceptable:postive","Upper","Upper Rouge"
"82","ur-1",10849602,2022,6,"Shocking",107,-3,2022-06-27,-3,"acceptable:negative","Upper","Upper Rouge"
"83","ur-2",10849608,2022,6,"Shocking",136,-4,2022-06-27,-4,"poor","Upper","Bell Branch"
"84","wall2",10849416,2022,7,"Shocking",131,0,2022-07-06,0,"neutral","Middle","Walled Lk Drainage"
"85","will1",10849712,2022,7,"Shocking",239,0,2022-07-26,0,"neutral","Middle","Willow Creek"
